03.16.21 LIVE w Payge ,Payge McMahon,65,4
06.01.2021 LIVE w/ Payge ,Payge McMahon,67,4
02.01.2017 LIVE w/ Dave Orth ,Dave Orth,78,5
10 Second Pushups ,DDP,10,5
Extreme - Psycho Workout Tutorial ,DDP,19,5
03.21.2017 LIVE w/ DDP ,DDP,33,5
Terrible 10s ,DDP,43,5
100 Push Up Challenge ,DDP,44,5
02.13.2018 LIVE w/ DDP ,DDP,46,5
01.27.2016 LIVE w/ DDP ,DDP,57,5
11.20.2018 LIVE w/ DDP ,DDP,58,5
02.08.2017 LIVE w/ DDP ,DDP,58,5
Howitzer - Warriors Purpose ,DDP,58,5
01.11.2017 LIVE w/ DDP ,DDP,60,5
Ground Pounder - Warriors Purpose ,DDP,60,5
04.11.2017 LIVE to FB w/ DDP ,DDP,61,5
Extreme Psycho Workout ,DDP,64,5
Hellfire - Warriors Purpose ,DDP,74,5
Living in the Red Zone ,DDP,77,5
06.13.2017 LIVE w/ Haydn ,Haydn Walden,31,5
04.04.2017 LIVE w/ Haydn ,Haydn Walden,34,5
07.26.2016 LIVE w/ Haydn ,Haydn Walden,63,5
05.21.2019 LIVE w/ Haydn ,Haydn Walden,64,5
09.28.2021 LIVE w Payge ,Payge McMahon,26,5
04.25.2016 LIVE w/ Stevie ,Stevie Richards,61,5
02.08.2016 LIVE w/ Stevie Richards ,Stevie Richards ,73,5
